;lon;lat;landmask;gx;gy
923;71.06466674804688;73.73186492919922;1.0;284.0;239.0
924;71.31808471679688;73.51763916015625;1.0;285.0;239.0
925;71.56504821777344;73.30303192138672;1.0;286.0;239.0
926;71.8057861328125;73.08805847167969;1.0;287.0;239.0
927;72.04052734375;72.87272644042969;1.0;288.0;239.0
961;70.31968688964844;73.65704345703125;1.0;284.0;240.0
962;71.08560180664062;73.01598358154297;1.0;287.0;240.0
1000;69.58157348632812;73.57945251464844;1.0;284.0;241.0
1001;69.8515853881836;73.36713409423828;1.0;285.0;241.0
1002;70.3715591430664;72.94122314453125;1.0;287.0;241.0
1003;72.00408935546875;71.43846893310547;1.0;294.0;241.0
1038;69.12840270996094;73.28780364990234;1.0;285.0;242.0
1039;69.3994369506836;73.0760269165039;1.0;286.0;242.0
1077;68.69068908691406;72.9950180053711;1.0;286.0;243.0
1078;68.96248626708984;72.78377532958984;1.0;287.0;243.0
1110;68.26770782470703;72.7011489868164;1.0;287.0;244.0
1111;68.5400390625;72.49042510986328;1.0;288.0;244.0
1138;67.8587646484375;72.40623474121094;1.0;288.0;245.0
1139;68.13142395019531;72.19601440429688;1.0;289.0;245.0
1140;68.39776611328125;71.98533630371094;1.0;290.0;245.0
1167;67.73600769042969;71.90060424804688;1.0;290.0;246.0
1168;68.00259399414062;71.69041442871094;1.0;291.0;246.0
1195;67.35319519042969;71.60420989990234;1.0;291.0;247.0
1221;66.70988464355469;71.51564025878906;1.0;291.0;248.0
1222;66.98243713378906;71.306884765625;1.0;292.0;248.0
1246;66.35098266601562;71.2169418334961;1.0;292.0;249.0
1247;66.62319946289062;71.00865936279297;1.0;293.0;249.0
1248;67.15023803710938;70.59062957763672;1.0;295.0;249.0
1273;66.00321960449219;70.91738891601562;1.0;293.0;250.0
1274;66.27497100830078;70.70956420898438;1.0;294.0;250.0
1275;66.54097747802734;70.50123596191406;1.0;295.0;250.0
1276;66.80140686035156;70.29242706298828;1.0;296.0;250.0
1277;67.05643463134766;70.08314514160156;1.0;297.0;250.0
1278;67.79058837890625;69.45256042480469;1.0;300.0;250.0
1279;68.2557144165039;69.02999114990234;1.0;302.0;250.0
1280;68.48139190673828;68.81808471679688;1.0;303.0;250.0
1281;68.70264434814453;68.60577392578125;1.0;304.0;250.0
1308;66.46288299560547;69.99336242675781;1.0;297.0;251.0
1309;66.96724700927734;69.57518005371094;1.0;299.0;251.0
1310;67.21183013916016;69.36540222167969;1.0;300.0;251.0
1311;67.45154571533203;69.15516662597656;1.0;301.0;251.0
1312;67.6865234375;68.94449615478516;1.0;302.0;251.0
1313;67.91690063476562;68.7333984375;1.0;303.0;251.0
1314;68.1427993774414;68.52188110351562;1.0;304.0;251.0
1315;68.36434173583984;68.30995178222656;1.0;305.0;251.0
1340;65.87464904785156;69.90141296386719;1.0;297.0;252.0
1341;66.13423919677734;69.6934585571289;1.0;298.0;252.0
1342;66.38862609863281;69.48502349853516;1.0;299.0;252.0
1344;66.88233947753906;69.06673431396484;1.0;301.0;252.0
1345;67.12194061279297;68.85690307617188;1.0;302.0;252.0
1371;65.8150634765625;69.39275360107422;1.0;299.0;253.0
1372;66.06897735595703;69.18472290039062;1.0;300.0;253.0
1373;66.31790924072266;68.9762191772461;1.0;301.0;253.0
1396;64.71429443359375;69.71113586425781;1.0;297.0;254.0
1397;64.98310852050781;69.5050277709961;1.0;298.0;254.0
1398;65.24662017822266;69.29840087890625;1.0;299.0;254.0
1419;63.86358642578125;69.8174819946289;1.0;296.0;255.0
1420;64.14226531982422;69.61286163330078;1.0;297.0;255.0
1438;63.0041618347168;69.91925811767578;1.0;295.0;256.0
